word,care_hlcts,fairness_hlcts,loyalty_hlcts,authority_hlcts,sanctity_hlcts,total_seen,seen_care,seen_fairness,seen_loyalty,seen_authority,seen_sanctity,care_pos,care_neg,care_neu,care_sent,fairness_pos,fairness_neg,fairness_neu,fairness_sent,loyalty_pos,loyalty_neg,loyalty_neu,loyalty_sent,authority_pos,authority_neg,authority_neu,authority_sent,sanctity_pos,sanctity_neg,sanctity_neu,sanctity_sent,avg_pos,avg_neg,avg_neu,sum_hl,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,ind_vader,ind_comp,tag,care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,foundation
harassment,12,9,5,9,9,234,51,41,41,50,51,0.047333333,0.54825,0.4045,-0.670225,0.091777778,0.544,0.364333333,-0.521777778,0,0.661,0.339,-0.65554,0.069222222,0.516888889,0.414,-0.593555556,0.080444444,0.555888889,0.363666667,-0.605277778,0,0,0,44,0.235294118,0.219512195,0.12195122,0.18,0.176470588,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}",-0.5423,n,0,0,0,0,0,0.235294118,0.219512195,0.12195122,0.18,0.176470588,care.vice
protest,15,11,33,40,13,784,131,188,172,149,144,0.122066667,0.375,0.502866667,-0.210866667,0.062363636,0.443181818,0.494545455,-0.358072727,0.096454545,0.341030303,0.562545455,-0.213566667,0.0676,0.408275,0.524125,-0.2640475,0.121538462,0.372769231,0.505692308,-0.270784615,0,0,0,112,0.114503817,0.058510638,0.191860465,0.268456376,0.090277778,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.25}",-0.25,n,0,0,0,0,0,0.114503817,0.058510638,0.191860465,0.268456376,0.090277778,authority.vice
violent,22,16,17,23,18,616,104,130,119,150,113,0.061409091,0.6135,0.325181818,-0.692822727,0.0615625,0.544625,0.3939375,-0.700025,0.094117647,0.545647059,0.360294118,-0.622176471,0.020695652,0.570565217,0.408782609,-0.697343478,0.047444444,0.605277778,0.347277778,-0.679983333,0,0,0,96,0.211538462,0.123076923,0.142857143,0.153333333,0.159292035,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5994}",-0.5994,a,0,0,0,0,0,0.211538462,0.123076923,0.142857143,0.153333333,0.159292035,care.vice
mistake,5,5,1,1,7,204,38,53,36,36,41,0.1102,0.4106,0.4792,-0.33802,0.1972,0.3584,0.4444,-0.14238,0,0.375,0.625,-0.34,0,0.89,0.11,-0.7964,0.030428571,0.561,0.408571429,-0.517885714,0,0,0,19,0.131578947,0.094339623,0.027777778,0.027777778,0.170731707,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.34}",-0.34,n,0,0,0,0,0,0.131578947,0.094339623,0.027777778,0.027777778,0.170731707,sanctity.vice
victims,60,54,20,21,29,1120,248,199,224,234,215,0.098416667,0.47725,0.424316667,-0.390225,0.073055556,0.503814815,0.42312963,-0.472966667,0.07715,0.4762,0.44665,-0.46621,0.075714286,0.522190476,0.402047619,-0.543595238,0.036689655,0.507172414,0.456137931,-0.554117241,0,0,0,184,0.241935484,0.271356784,0.089285714,0.08974359,0.134883721,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3182}",-0.3182,n,0,0,0,0,0,0.241935484,0.271356784,0.089285714,0.08974359,0.134883721,fairness.vice
escape,7,7,3,6,5,236,51,57,53,42,33,0.261,0.382428571,0.356857143,-0.271828571,0.384428571,0.248428571,0.366857143,-0.0508,0.218666667,0.179666667,0.601666667,0.0358,0.1655,0.436833333,0.3975,-0.504483333,0.2384,0.3782,0.3834,-0.45478,0,0,0,28,0.137254902,0.122807018,0.056603774,0.142857143,0.151515152,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1779}",0.1779,v,0.137254902,0.122807018,0.056603774,0.142857143,0.151515152,0,0,0,0,0,sanctity.virtue
compassion,10,0,0,1,1,82,24,13,13,16,16,0.7034,0.0213,0.2753,0.76659,0,0,0,0,0,0,0,0,0.758,0.242,0,0.7096,0.901,0,0.099,0.9531,0,0,0,12,0.416666667,0,0,0.0625,0.0625,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,n,0.416666667,0,0,0.0625,0.0625,0,0,0,0,0,care.virtue
offensive,6,7,7,11,4,405,73,99,87,65,81,0.047666667,0.545333333,0.407,-0.4584,0.085714286,0.442857143,0.471285714,-0.583228571,0.142428571,0.366571429,0.491,-0.310885714,0.155636364,0.399454545,0.444909091,-0.387236364,0.099,0.471,0.43,-0.637825,0,0,0,35,0.082191781,0.070707071,0.08045977,0.169230769,0.049382716,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4588}",-0.4588,a,0,0,0,0,0,0.082191781,0.070707071,0.08045977,0.169230769,0.049382716,authority.vice
detained,9,17,5,8,7,295,49,64,57,63,62,0.060666667,0.543777778,0.395555556,-0.538177778,0.057705882,0.496705882,0.445588235,-0.518741176,0.0442,0.6208,0.3352,-0.69116,0.186375,0.355125,0.4585,-0.070725,0.010428571,0.629,0.360571429,-0.761828571,0,0,0,46,0.183673469,0.265625,0.087719298,0.126984127,0.112903226,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4019}",-0.4019,v,0,0,0,0,0,0.183673469,0.265625,0.087719298,0.126984127,0.112903226,fairness.vice
favorite,0,4,5,2,0,139,29,27,36,24,23,0,0,0,0,0.57025,0.03975,0.39,0.5318,0.3192,0.129,0.5514,0.38246,0.6925,0,0.3075,0.775,0,0,0,0,0,0,0,11,0,0.148148148,0.138888889,0.083333333,0,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,a,0,0.148148148,0.138888889,0.083333333,0,0,0,0,0,0,fairness.virtue
